wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi
71.5,93.5,23.5,34.5,51.5,36.5
79,94.8,24.5,36.5,51.5,37.5
83.2,95,21.9,37,57.3,37.3
77.8,94,23,37,53,34.8
80,98.5,24.4,37.7,55.4,38.6
82.5,95.3,23.5,36.6,57.5,36.1
82,101,23.6,40.1,60.9,40.3
76.8,98,22.5,39.2,56,36.7
68.5,89.5,22,35.5,50,35
77.5,99.8,22.2,38.3,59.8,38.6
81.9,98.4,23.2,38.9,60.5,40.1
82.6,95,24.3,39,58.5,38.4
85,103,26,40.5,59,40
85.6,98,21.5,35.8,59.1,36
78,95,22,34.5,57,35
82,97,24,39,56,35.7
88.3,105,24.2,40.9,65.8,41.7
73.6,90.1,22,36.4,54.1,35.6
78.5,94.5,23,38,55,36.5
87.3,101.1,26.5,39.8,59.5,42
92,98,21,37.5,57.5,35.2
80,99.5,23,37.5,57,35.5
74.5,92.2,23.5,36.2,53.4,33.3
90.6,101.2,22.9,35.4,59.5,40.6
81.4,98.8,22.8,38.5,61.3,41.2
89.5,106,23.5,39.9,59.5,41.5
85,105,23.5,38,62,40
73.5,97,23.5,39,56.3,38.2
75.8,89,21.5,37,52.6,37.4
74,93.5,21,34,50.5,32.8
77.5,95,21,37.6,56.5,36.3
74,90,22.4,36.2,54.2,36.6
74,96.4,22.9,36.4,51.8,34.6
82,100,24.3,40.7,57.5,40.1
73,95.4,21.8,37.2,56.3,34.5
70.5,90,21.5,36,50,34.5
75,91.3,21,36.3,49.5,35.1
72.1,91,22.9,36.1,54.9,37.2
78.8,93.2,23,36.4,55.8,35.1
77.5,97,23.3,38.3,55,39.6
91.5,103.9,23.1,36.7,62,39.4
84.9,102.6,22.6,37,66.4,37.7
79.1,97.1,23.4,36.9,60.1,38.2
77.9,90.7,22.9,35.6,56.7,35.5
91.7,101.8,22.2,37.7,61,40
86.6,103.9,24.3,39,63.2,40.2
84.7,101.4,23.2,38.4,60,37.9
90.3,108.7,25.7,39.2,66.9,40.1
79.7,98.4,21.4,34.5,61.1,36.1
73.1,86.5,20.3,31.7,50.6,33.6
79.8,94.8,21.1,34.2,58.3,38.1
81.6,100.9,22.7,38.8,61.7,36.5
76.8,98,23.4,35.9,56.8,38.3
85.9,100.9,21.9,36.8,61.3,38.6
73.3,85.7,19,31.1,46.9,30.5
69.9,84.1,20,32.8,50.8,36.3
72.7,91.4,21.1,34.8,51.2,34.7
82.7,98,23.2,37.9,55.8,39.1
90.1,104.5,25.3,38.4,62.7,42.4
82.9,95.8,21.4,35.2,52.6,35.2
77.9,91.7,21.6,36.6,57.1,37.5
92.5,103.4,22.4,38.4,58.5,38
77.8,90,21.8,34.2,52.4,36
72.7,91.7,21.1,33.5,51.9,33.8
75,94,22,36.1,53.8,36.2
76,93,22.8,37,54.5,34.5
82.7,93,21.8,35.8,56.6,36.3
80,97.4,22,36.2,57.8,37.4
107.1,108.3,24.6,40,67,39.6
76.2,90,21,34.8,52,32.6
90.2,100.2,24.5,39.2,60.8,39.1
89.4,97.7,21.6,36.4,54.8,35.6
80.9,96,21.2,36.1,59,39
73.5,92,23.8,36,53.1,36
70.9,95.3,22,36,56,34
76.1,86.3,22.7,34.5,52.4,37.9
81,92.5,21.1,35.8,54.7,37.6
72,85.5,20.1,34.9,50.2,35.1
76.8,94.5,22.1,37.5,54.6,35.6
86,103,23.6,38.8,60.6,39.5
98.5,116.5,23.3,38,67.8,41.2
79,98.5,25.9,39.6,62.1,40.8
77.5,92,21.3,36.5,54.2,35.8
75.2,91.6,22.1,36.2,49.6,35.7
82,92.7,20.7,35.6,54.6,36.4
79.6,95,21.6,36.5,54.2,38
75.2,94.5,22.6,38.1,57.4,36
88.6,100.5,23.1,38.4,63.4,38.6
81.5,91.8,21.9,35.4,55,36.5
79.9,87.5,22.3,36.8,54.4,37.9
73.5,94.9,22,36.5,53.5,35.2
80.3,93,20.3,36,55.4,37.8
81.5,92,21.1,35.1,54.1,35.2
74,91.3,21.2,36.6,53.5,38.6
104,111.7,24.6,41.2,63.2,39.3
76.2,92.8,22.7,36.8,55.2,37.7
76.5,91.2,21.5,35.5,54.2,35.3
81,96.2,24,37,56,35.5
88.8,100,23.2,38,61,39.4
94,108.2,25.3,39.5,66.8,43
83.4,101.1,24,39.4,61.3,41.8
77,93,22.5,38.4,51.7,38.5
75.4,88.6,21.2,33.8,50,32.5
80.3,92.8,21,36.5,53.9,35
68,81.5,20.9,34,49.5,34.5
80.6,91.3,20.8,35.5,55,34
88.6,94.7,26.3,40.3,58.3,39.7
81.1,93.9,23.1,35,53.5,37.3
70.8,89.4,21.3,38.5,55.8,34.2
73.3,89.3,22.3,34.3,55.4,34.3
75.9,92.6,23,34.8,54.4,35.5
86.2,96.3,23,38.3,59.1,34.7
75,88,23,34.5,53.8,33.5
101,105.5,25.6,39.5,60.2,39.4
90,102.3,23.7,38.2,60,38.3
75,91.6,16.4,31.7,49.4,30.2
75.9,93.4,24.5,37,55,37.7
96,103.6,25.1,41.2,62.2,39.4
84,94.8,22.8,38.6,57.6,38.2
67.1,85.9,20,32.7,46.8,32.1
82.5,98.4,24.6,37.8,57.7,38.3
83.7,98.4,25.8,38,56.2,39.6
76.7,93.3,20.6,34.7,56,34.6
105.2,115.5,27,42.2,69.9,47.7
90.6,97.7,22.2,34.1,58,35.8
85.7,98.6,23,39.3,55.5,35.9
82.5,94.9,27.5,39.2,54.4,37
94.7,101.3,24.2,40.5,60.1,40
105.2,108.1,21.6,36.9,60.5,37.7
86,98,25.8,38.3,59.5,39
90.9,100.2,23.2,38.1,51.8,36.4
92.4,97,23.4,37.7,50.9,37.7
96.5,97.4,24.5,37.7,54.3,39.3
98.4,107.9,25.3,42.6,67.4,40.7
76.7,93.9,23.2,36.1,50.4,32.9
94.8,98.6,24.6,37.7,48.3,36.8
80.1,91.3,23,36.2,56.2,33
97.4,105.3,22.9,38.2,55.6,36.6
73.7,88.2,21.2,35.2,52.3,36.2
76.1,93.3,23.6,36.8,51.7,37.7
95.6,107.9,24.7,41.8,64.6,39.6
101,103.3,25,39.7,54.4,41.8
84.5,94.4,25,38.5,54.7,37.6
98,101.5,24.9,37.7,56.9,39.2
101.6,110,23.7,40.3,57.8,40
87.8,98.4,24.5,38.2,55.6,37.7
80,95,22.9,36.9,52,36.4
81.8,98.3,22,35,56.3,33
84.4,99,21.3,36.1,55,38.4
85,95.7,23.8,37.9,59,37.7
90,96,23,36,52.5,36.9
72.9,89.5,22.1,32.6,51,33.1
81,93.7,22.7,36.9,54.8,37.3
86.5,97,22.5,38,57,37
93.9,103.6,24.6,40.9,60.5,40.8
77,93,20,34.4,52,34.4
75,90,22,33.8,50.6,34
80.6,90,23,34.6,55.5,37.4
100.5,109.5,25.4,41,61.8,39.7
81.2,91.6,23.1,35.2,51.5,35.5
103.4,108.5,24.8,42.3,60.5,40.8
90.3,101.6,24.9,40.4,57.2,37.8
98,99.6,26.1,40.9,56.7,42.1
86.5,91.9,24,38.3,55,37.8
77.9,90.8,21,35.5,50.8,35
89.1,104.8,27.7,41.1,62.7,41.2
93.9,111.4,23.5,42.8,62.8,39.3
85.3,96.5,21.6,36.8,57,36
98.5,108.1,26.4,41.9,61.3,42.1
79.5,95.3,22.8,36.6,54.8,36.2
94.9,104.3,23.2,37.7,59,36.8
76.5,96.3,23.8,36.4,54.2,38.2
88.4,98.8,23.7,37.7,54.8,37
84.2,93.2,22.8,35.6,55,36.4
87.6,106.7,25.8,39,60.9,42.6
83.7,99.9,29.3,38.7,56.8,41.8
92.1,103.8,22.6,37.1,56.6,37.4
89.9,107.1,22,36.6,59.2,32.3
88.7,100,26.4,40.9,57.5,38.8
83.9,103.9,24.3,37,59.8,36.5
79.5,95.3,21.8,35.6,52.5,35.1
84.5,99.5,24.5,36.5,59.2,38.5
89.2,107,23,37,56.9,37.6
90.7,101.7,24.2,36.9,58,38.9
