sho_gi,che_gi,wai_gi,nav_gi
106.2,89.5,71.5,74.5
110.5,97,79,86.5
115.1,97.5,83.2,82.9
104.5,97,77.8,78.8
107.5,97.5,80,82.5
119.8,99.9,82.5,80.1
123.5,106.9,82,84
120.4,102.5,76.8,80.5
111,91,68.5,69
119.5,93.5,77.5,81.5
117.1,97.7,81.9,81
123.5,99.5,82.6,82.5
116.5,103,85,94.5
113,99.6,85.6,89.2
107.5,101.5,78,89.5
112,104.1,82,84
112.2,100,88.3,93.5
120,93.8,73.6,74.9
109,98.5,78.5,86
118.5,104,87.3,88
116,100,92,91
111,100,80,83.7
117.7,99,74.5,75.9
123.9,101,90.6,89.6
120.6,101.6,81.4,81.6
129.5,108.8,89.5,89.5
115,100,85,94.5
116,88,73.5,77.7
107.8,88.7,75.8,83
100.2,84.5,74,81
113,93.6,77.5,82.1
117.9,105,74,72
112.5,90.9,74,78.8
110.5,91.2,82,89.5
112,98.4,73,83
104,85,70.5,84
114.8,97.2,75,77.2
108,91.5,72.1,79.2
111.2,91.2,78.8,78
118.3,101.1,77.5,78
115.2,104.3,91.5,93.2
129.9,110.8,84.9,83
112.9,96.3,79.1,78.3
112.2,102.7,77.9,77.9
117.1,103.9,91.7,89.4
118.7,105.6,86.6,87.3
109.2,95.8,84.7,84
128.1,111.2,90.3,93.5
113.3,100,79.7,87.1
108.4,91.6,73.1,75.4
118.7,108,79.8,82.5
126.3,109.6,81.6,86.5
124.2,105.7,76.8,83.4
126.7,109.1,85.9,90.4
103.3,88.8,73.3,77.9
101.2,86.1,69.9,67.4
104.3,91.3,72.7,83.2
113.2,100.6,82.7,83.5
121.9,105.5,90.1,89.2
113.1,97.5,82.9,83.6
108.5,94.4,77.9,79
113.9,99.6,92.5,96.2
112.6,98.1,77.8,77.2
110.2,93.6,72.7,77.3
108.7,93.4,75,79.2
104,92,76,83
115.2,99.2,82.7,84.2
111.9,97.6,80,85.7
127,108.8,107.1,107.2
111.2,91.9,76.2,78.1
122,105.2,90.2,88.6
114.5,98.3,89.4,87.4
109.5,92.5,80.9,78.5
110.8,92.5,73.5,76.4
118.8,101.6,70.9,76.7
108,94.6,76.1,78
114.3,92.5,81,85.2
105.4,88.2,72,72
115,91,76.8,80
119.5,106,86,92
130,115,98.5,106.6
113.3,100,79,82.5
113.2,94.7,77.5,80.5
106.9,92.5,75.2,80.2
113.8,96.7,82,82.2
117.3,97.4,79.6,80.8
124.2,106.7,75.2,77.8
123,106.2,88.6,88.3
117.8,103.6,81.5,83.3
118.8,98.3,79.9,82.4
112,87.8,73.5,77.5
113,99.8,80.3,80.8
116,104.6,81.5,85
112.8,86.5,74,76.5
125,110,104,99
108.3,93.2,76.2,83.8
108.2,90,76.5,77.7
113,98.4,81,80.5
115,107.2,88.8,86.8
123,108.3,94,98
120.2,105.7,83.4,86.5
114,88.5,77,79
112.5,90.9,80.3,80.8
104.5,90.2,68,67
111.3,91.6,80.6,78
117.2,105.2,88.6,94.7
112.8,97,81.1,88.2
104.8,85.3,70.8,84.9
117.7,99.6,73.3,82.1
107.7,94.3,75.9,79.1
125.2,111.8,86.2,93.5
109.1,94.3,75,82.2
122.6,106.1,101,99.7
117.3,102,90,92.3
109.1,94.8,75,79.6
116.7,102.9,75.9,77
124.9,115.8,96,95.9
118.6,105.4,84,90.4
108.8,87.1,67.1,80.4
121.9,104.1,82.5,90.1
117.3,95.8,83.7,84.2
115,98.6,76.7,85.8
113.8,100.9,90.6,93.3
119.4,98.5,85.7,92.9
117.9,96.9,82.5,90.8
127.3,110.7,94.7,92
118.8,108,105.2,103.4
122.4,109,86,90.2
111.5,104.2,90.9,92.7
113.2,100.5,92.4,92.4
115.3,105.7,96.5,98.2
122.5,112.4,98.4,101.5
114.4,96.2,76.7,83.5
112.8,97.5,94.8,98.2
112.2,90.9,80.1,79.8
119.4,108.4,97.4,103.7
108.4,94.3,73.7,74.5
122.4,109.1,76.1,90.1
128.8,115,95.6,101.9
118,104.4,101,98.9
116.5,100.1,84.5,84.5
120.4,108.4,98,101.8
123.1,107.3,101.6,103.8
117.2,101.8,87.8,90.2
113,94.5,80,85
109.4,91.7,81.8,82.9
105.7,95.9,84.4,86.8
119.7,110.5,85,83.5
118,104,90,86
104.3,86.8,72.9,73.4
114.1,106.7,81,80.2
119,102.5,86.5,89
113.8,103,93.9,98.6
118,95,77,78
116,99,75,75
108.3,89.7,80.6,80.8
129.2,111.5,100.5,107.3
109.2,94.1,81.2,84
124.3,118.3,103.4,106.2
122.6,106.5,90.3,101.1
122.4,110.4,98,98
114.9,102.3,86.5,87.7
111.1,98.5,77.9,87.3
126,111.6,89.1,95.1
124.7,110.4,85.3,82.9
125.3,114,98.5,103.8
118.2,101.8,79.5,90.1
124.3,109.6,94.9,94.7
118.3,100.7,76.5,87.2
122.3,104.3,88.4,89.6
116.5,104.2,84.2,84
123,107.4,87.6,89.4
117.6,101,83.7,91.1
117.5,103,92.1,91.3
117.3,107.2,89.9,94.7
114.5,99,88.7,91
122.9,100.3,83.9,89.4
115.5,100.2,79.5,88.7
116.1,99.8,84.5,92.6
121.6,107.5,89.2,88.4
131.6,110.1,90.7,91.9
124.5,107,88.8,97.5
115.6,105.6,103.6,100.7
117,103.6,98.5,99.9
108.6,97.1,82.9,88.1
120.2,109.8,90.5,92.3
116.2,103.3,84.5,94.5
115.4,103.7,86,93.8
120,108.5,84.2,88.9
110.3,97.8,85.7,89.5
123.5,111.4,99.7,102.9
107.8,95.1,84.7,92.9
118.7,100.2,80.3,92.4
118.7,109.5,90,96.2
118,106.3,86.6,93.9
105,91.5,80.2,85.7
123.1,109.6,88.4,92
121,102.5,81,84.5
111.7,101.2,88.8,90.8
111,98.7,78.1,78.6
112,96,81.5,80.5
115.9,104.2,87.6,89.6
121,103,92.5,88.5
123.6,107,97,95.5
120,101,82,82
128.7,112.1,99.5,97.8
124.5,103.4,93.8,92.7
112.4,100.3,79.1,80.4
112.2,95.7,85.8,94.7
127,108,90.8,92.4
115.3,101,85.4,86.9
111.5,98.6,91.6,102.1
118.3,101.6,79.7,82
118,99,86.1,90.8
124.4,105,79.5,85.8
112.4,95.1,85.4,84.1
125.8,106.7,97.9,94.7
131.7,116.6,94.7,93.1
117.3,103.5,86.1,90.5
107.6,90.4,84.9,83.7
122.4,107.5,92.2,88.6
117,100.8,83.7,82.5
119,104.2,97.8,93.6
123.5,104.9,98.6,99.2
121.4,112.8,89.5,96.9
112.3,95.7,82.9,89.6
113.2,104.9,90.1,90.8
121.7,109.1,78.9,91
116.6,105.4,80.7,87.4
117.8,104.3,94.3,99.4
118,100.5,70.2,79.3
131.1,111.8,83.6,92.7
121.4,109.5,91.9,96.5
116.3,101.2,71.8,82.3
121.8,103.3,85,90.8
118.2,101.6,85.7,91
126.3,103.1,96.5,99
121,104.6,82.4,85.7
123.1,104.3,86.3,87.8
114.9,95.9,83.2,88
