wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi
66.5,92,21,32,53.5,32.2
61.5,90.5,22.5,38.5,57.7,38.5
61.2,91,19,32.5,53,32.5
78,99.5,23,35.2,61.5,36.7
70.5,91.5,19.9,33,55,33.3
66.5,94,23,34,54,35
58,85.5,19,32.5,49.5,32
74.5,104,22,38.5,64,38
73.5,104.1,21.6,35.3,65.3,37.4
90.5,108.1,22.6,37.2,61.1,35.8
66.5,90.3,19.9,32.2,52,32.5
61,91.6,20.5,34,53,34.5
69.5,94.4,20.9,36.1,55.8,35.3
62,80.9,17.9,30.8,48.8,30.4
63.4,87.7,19.1,34.4,54,32.8
71,88.5,21,33.5,54.5,35
59,88.5,18.5,32.5,51.2,29.6
74,101,23.8,38.6,61.5,38.6
60.5,88.5,19,29,54,33
75,99,20.6,37,59,36.5
65,91,22,32,53.5,31.5
82.2,110.2,23,40.5,69,38.6
70.2,94.2,19.4,34.3,54.1,30.9
85,111,24.2,40.1,68,40
75,103,23,38.2,62,40
63,90,20.9,35.2,51.1,33.7
70,96,21,37.2,57.9,36
72.6,93.7,21.3,37,56.4,38.4
78.7,101.5,21.3,35.4,59.9,36.7
61,82.5,20.5,32.5,49.5,33
64.2,89,20.5,33,53,31.5
63.1,93.9,20.1,35,57.1,35
85,106.4,23.3,39.6,65.6,38.9
66,92,20.5,33,52.5,34.8
65,86,20,31.5,51,31
63.2,89.1,20,33.6,55.8,33.4
83.6,104.1,22.3,37.2,61.5,35.2
68,88,21.2,33.2,52.2,35.3
75.7,102.6,21.5,35.5,64.3,38
65.5,95.9,21.9,35.6,53.7,33.4
66.9,98.8,20,35.9,59.2,34.6
67.9,93.5,20.6,37.1,57,36.3
67.8,92.9,18.8,32.3,55.8,30
63.2,86.9,18.9,32.3,52.1,31.6
73.1,94.9,22,34.9,57.2,35.7
65.3,95.3,21.2,33.1,55.7,35.4
65.6,93.3,21,35.1,57.4,35.6
62.7,90,19.8,32.6,54,32.9
81.8,99.3,21.4,35,60.7,36.3
72.1,95.6,21.9,34.3,59.2,37.1
68.6,95.8,20.7,35.6,56.6,34
80,104.6,21,36.3,62.7,36
64.9,92.2,20.7,34,53.1,35.4
61.7,80.7,20.7,30.5,50.3,33.8
64,98.1,20.3,33.7,56.8,34
58.6,89.6,20.7,33.2,54.9,35.8
68.3,94,19.7,35.9,57,32.5
69.5,94.7,20.1,34.9,55.7,37.1
70.5,94.1,20,33.5,54.6,33.5
69.8,93.7,21.5,35.9,55.7,34.2
69,86.7,19.6,31.6,51.5,33.3
81,105.9,21.7,38.1,65.5,37.7
71,97.5,20.6,34,59.5,34.2
73.6,105.3,24.3,38.8,65.8,39.7
96.3,102.6,22.9,38.3,57.5,41.1
65,91.6,18.9,33,55.3,31.5
62.8,83.9,20.9,34,51.5,34.8
83,108.1,20.7,38.1,65,37.8
67.6,99.1,22.1,38.5,57.5,35
