wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi,labels
71.5,93.5,23.5,34.5,51.5,36.5,2
79.0,94.8,24.5,36.5,51.5,37.5,1
83.2,95.0,21.9,37.0,57.3,37.3,1
77.8,94.0,23.0,37.0,53.0,34.8,1
80.0,98.5,24.4,37.7,55.4,38.6,0
82.5,95.3,23.5,36.6,57.5,36.1,1
82.0,101.0,23.6,40.1,60.9,40.3,3
76.8,98.0,22.5,39.2,56.0,36.7,1
68.5,89.5,22.0,35.5,50.0,35.0,2
77.5,99.8,22.2,38.3,59.8,38.6,0
81.9,98.4,23.2,38.9,60.5,40.1,0
82.6,95.0,24.3,39.0,58.5,38.4,0
85.0,103.0,26.0,40.5,59.0,40.0,3
85.6,98.0,21.5,35.8,59.1,36.0,1
78.0,95.0,22.0,34.5,57.0,35.0,1
82.0,97.0,24.0,39.0,56.0,35.7,0
88.3,105.0,24.2,40.9,65.8,41.7,3
73.6,90.1,22.0,36.4,54.1,35.6,2
78.5,94.5,23.0,38.0,55.0,36.5,1
87.3,101.1,26.5,39.8,59.5,42.0,3
92.0,98.0,21.0,37.5,57.5,35.2,1
80.0,99.5,23.0,37.5,57.0,35.5,1
74.5,92.2,23.5,36.2,53.4,33.3,2
90.6,101.2,22.9,35.4,59.5,40.6,0
81.4,98.8,22.8,38.5,61.3,41.2,0
89.5,106.0,23.5,39.9,59.5,41.5,3
85.0,105.0,23.5,38.0,62.0,40.0,0
73.5,97.0,23.5,39.0,56.3,38.2,0
75.8,89.0,21.5,37.0,52.6,37.4,1
74.0,93.5,21.0,34.0,50.5,32.8,2
77.5,95.0,21.0,37.6,56.5,36.3,1
74.0,90.0,22.4,36.2,54.2,36.6,1
74.0,96.4,22.9,36.4,51.8,34.6,1
82.0,100.0,24.3,40.7,57.5,40.1,3
73.0,95.4,21.8,37.2,56.3,34.5,1
70.5,90.0,21.5,36.0,50.0,34.5,2
75.0,91.3,21.0,36.3,49.5,35.1,2
72.1,91.0,22.9,36.1,54.9,37.2,1
78.8,93.2,23.0,36.4,55.8,35.1,1
77.5,97.0,23.3,38.3,55.0,39.6,0
91.5,103.9,23.1,36.7,62.0,39.4,0
84.9,102.6,22.6,37.0,66.4,37.7,0
79.1,97.1,23.4,36.9,60.1,38.2,0
77.9,90.7,22.9,35.6,56.7,35.5,1
91.7,101.8,22.2,37.7,61.0,40.0,0
86.6,103.9,24.3,39.0,63.2,40.2,3
84.7,101.4,23.2,38.4,60.0,37.9,0
90.3,108.7,25.7,39.2,66.9,40.1,3
79.7,98.4,21.4,34.5,61.1,36.1,1
73.1,86.5,20.3,31.7,50.6,33.6,2
79.8,94.8,21.1,34.2,58.3,38.1,1
81.6,100.9,22.7,38.8,61.7,36.5,0
76.8,98.0,23.4,35.9,56.8,38.3,1
85.9,100.9,21.9,36.8,61.3,38.6,0
69.9,84.1,20.0,32.8,50.8,36.3,2
72.7,91.4,21.1,34.8,51.2,34.7,2
82.7,98.0,23.2,37.9,55.8,39.1,0
90.1,104.5,25.3,38.4,62.7,42.4,3
82.9,95.8,21.4,35.2,52.6,35.2,1
77.9,91.7,21.6,36.6,57.1,37.5,1
92.5,103.4,22.4,38.4,58.5,38.0,0
77.8,90.0,21.8,34.2,52.4,36.0,2
72.7,91.7,21.1,33.5,51.9,33.8,2
75.0,94.0,22.0,36.1,53.8,36.2,1
76.0,93.0,22.8,37.0,54.5,34.5,1
82.7,93.0,21.8,35.8,56.6,36.3,1
80.0,97.4,22.0,36.2,57.8,37.4,1
76.2,90.0,21.0,34.8,52.0,32.6,2
90.2,100.2,24.5,39.2,60.8,39.1,3
89.4,97.7,21.6,36.4,54.8,35.6,1
80.9,96.0,21.2,36.1,59.0,39.0,1
73.5,92.0,23.8,36.0,53.1,36.0,1
70.9,95.3,22.0,36.0,56.0,34.0,1
76.1,86.3,22.7,34.5,52.4,37.9,2
81.0,92.5,21.1,35.8,54.7,37.6,1
72.0,85.5,20.1,34.9,50.2,35.1,2
76.8,94.5,22.1,37.5,54.6,35.6,1
86.0,103.0,23.6,38.8,60.6,39.5,0
79.0,98.5,25.9,39.6,62.1,40.8,3
77.5,92.0,21.3,36.5,54.2,35.8,1
75.2,91.6,22.1,36.2,49.6,35.7,2
82.0,92.7,20.7,35.6,54.6,36.4,1
79.6,95.0,21.6,36.5,54.2,38.0,1
75.2,94.5,22.6,38.1,57.4,36.0,1
88.6,100.5,23.1,38.4,63.4,38.6,0
81.5,91.8,21.9,35.4,55.0,36.5,1
79.9,87.5,22.3,36.8,54.4,37.9,1
73.5,94.9,22.0,36.5,53.5,35.2,1
