sho_gi,che_gi,wai_gi,nav_gi,labels
106.2,89.5,71.5,74.5,3
110.5,97.0,79.0,86.5,0
115.1,97.5,83.2,82.9,0
104.5,97.0,77.8,78.8,3
107.5,97.5,80.0,82.5,0
119.8,99.9,82.5,80.1,0
123.5,106.9,82.0,84.0,2
120.4,102.5,76.8,80.5,0
111.0,91.0,68.5,69.0,3
119.5,93.5,77.5,81.5,0
117.1,97.7,81.9,81.0,0
123.5,99.5,82.6,82.5,2
116.5,103.0,85.0,94.5,2
113.0,99.6,85.6,89.2,2
107.5,101.5,78.0,89.5,0
112.0,104.1,82.0,84.0,0
112.2,100.0,88.3,93.5,2
120.0,93.8,73.6,74.9,0
109.0,98.5,78.5,86.0,0
118.5,104.0,87.3,88.0,2
116.0,100.0,92.0,91.0,2
111.0,100.0,80.0,83.7,0
117.7,99.0,74.5,75.9,0
123.9,101.0,90.6,89.6,2
120.6,101.6,81.4,81.6,0
129.5,108.8,89.5,89.5,1
115.0,100.0,85.0,94.5,2
116.0,88.0,73.5,77.7,3
107.8,88.7,75.8,83.0,3
100.2,84.5,74.0,81.0,3
113.0,93.6,77.5,82.1,0
117.9,105.0,74.0,72.0,0
112.5,90.9,74.0,78.8,3
110.5,91.2,82.0,89.5,0
112.0,98.4,73.0,83.0,0
104.0,85.0,70.5,84.0,3
114.8,97.2,75.0,77.2,0
108.0,91.5,72.1,79.2,3
111.2,91.2,78.8,78.0,3
118.3,101.1,77.5,78.0,0
115.2,104.3,91.5,93.2,2
129.9,110.8,84.9,83.0,2
112.9,96.3,79.1,78.3,0
112.2,102.7,77.9,77.9,0
117.1,103.9,91.7,89.4,2
118.7,105.6,86.6,87.3,2
109.2,95.8,84.7,84.0,0
128.1,111.2,90.3,93.5,1
113.3,100.0,79.7,87.1,0
108.4,91.6,73.1,75.4,3
118.7,108.0,79.8,82.5,2
126.3,109.6,81.6,86.5,2
124.2,105.7,76.8,83.4,2
126.7,109.1,85.9,90.4,2
103.3,88.8,73.3,77.9,3
101.2,86.1,69.9,67.4,3
104.3,91.3,72.7,83.2,3
113.2,100.6,82.7,83.5,0
121.9,105.5,90.1,89.2,2
113.1,97.5,82.9,83.6,0
108.5,94.4,77.9,79.0,3
113.9,99.6,92.5,96.2,2
112.6,98.1,77.8,77.2,0
110.2,93.6,72.7,77.3,3
108.7,93.4,75.0,79.2,3
104.0,92.0,76.0,83.0,3
115.2,99.2,82.7,84.2,0
111.9,97.6,80.0,85.7,0
111.2,91.9,76.2,78.1,3
122.0,105.2,90.2,88.6,2
114.5,98.3,89.4,87.4,2
109.5,92.5,80.9,78.5,3
110.8,92.5,73.5,76.4,3
118.8,101.6,70.9,76.7,0
108.0,94.6,76.1,78.0,3
114.3,92.5,81.0,85.2,0
105.4,88.2,72.0,72.0,3
115.0,91.0,76.8,80.0,3
119.5,106.0,86.0,92.0,2
130.0,115.0,98.5,106.6,1
113.3,100.0,79.0,82.5,0
113.2,94.7,77.5,80.5,0
106.9,92.5,75.2,80.2,3
113.8,96.7,82.0,82.2,0
117.3,97.4,79.6,80.8,0
124.2,106.7,75.2,77.8,0
123.0,106.2,88.6,88.3,2
117.8,103.6,81.5,83.3,0
118.8,98.3,79.9,82.4,0
112.0,87.8,73.5,77.5,3
113.0,99.8,80.3,80.8,0
116.0,104.6,81.5,85.0,2
112.8,86.5,74.0,76.5,3
125.0,110.0,104.0,99.0,1
108.3,93.2,76.2,83.8,3
108.2,90.0,76.5,77.7,3
113.0,98.4,81.0,80.5,0
115.0,107.2,88.8,86.8,2
123.0,108.3,94.0,98.0,1
120.2,105.7,83.4,86.5,2
114.0,88.5,77.0,79.0,3
112.5,90.9,80.3,80.8,3
104.5,90.2,68.0,67.0,3
111.3,91.6,80.6,78.0,3
117.2,105.2,88.6,94.7,2
112.8,97.0,81.1,88.2,0
104.8,85.3,70.8,84.9,3
117.7,99.6,73.3,82.1,0
107.7,94.3,75.9,79.1,3
125.2,111.8,86.2,93.5,1
109.1,94.3,75.0,82.2,3
122.6,106.1,101.0,99.7,1
117.3,102.0,90.0,92.3,2
109.1,94.8,75.0,79.6,3
116.7,102.9,75.9,77.0,0
124.9,115.8,96.0,95.9,1
118.6,105.4,84.0,90.4,2
108.8,87.1,67.1,80.4,3
121.9,104.1,82.5,90.1,2
117.3,95.8,83.7,84.2,0
115.0,98.6,76.7,85.8,0
113.8,100.9,90.6,93.3,2
119.4,98.5,85.7,92.9,2
117.9,96.9,82.5,90.8,2
127.3,110.7,94.7,92.0,1
118.8,108.0,105.2,103.4,1
122.4,109.0,86.0,90.2,2
111.5,104.2,90.9,92.7,2
113.2,100.5,92.4,92.4,2
115.3,105.7,96.5,98.2,1
122.5,112.4,98.4,101.5,1
114.4,96.2,76.7,83.5,0
112.8,97.5,94.8,98.2,2
112.2,90.9,80.1,79.8,3
119.4,108.4,97.4,103.7,1
108.4,94.3,73.7,74.5,3
122.4,109.1,76.1,90.1,2
128.8,115.0,95.6,101.9,1
118.0,104.4,101.0,98.9,1
116.5,100.1,84.5,84.5,0
120.4,108.4,98.0,101.8,1
123.1,107.3,101.6,103.8,1
117.2,101.8,87.8,90.2,2
113.0,94.5,80.0,85.0,0
109.4,91.7,81.8,82.9,3
105.7,95.9,84.4,86.8,0
119.7,110.5,85.0,83.5,2
118.0,104.0,90.0,86.0,2
104.3,86.8,72.9,73.4,3
114.1,106.7,81.0,80.2,0
119.0,102.5,86.5,89.0,2
113.8,103.0,93.9,98.6,2
118.0,95.0,77.0,78.0,0
