wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi,labels
66.5,92.0,21.0,32.0,53.5,32.2,0
61.5,90.5,22.5,38.5,57.7,38.5,2
61.2,91.0,19.0,32.5,53.0,32.5,0
78.0,99.5,23.0,35.2,61.5,36.7,1
70.5,91.5,19.9,33.0,55.0,33.3,3
66.5,94.0,23.0,34.0,54.0,35.0,3
58.0,85.5,19.0,32.5,49.5,32.0,0
74.5,104.0,22.0,38.5,64.0,38.0,1
73.5,104.1,21.6,35.3,65.3,37.4,1
66.5,90.3,19.9,32.2,52.0,32.5,0
61.0,91.6,20.5,34.0,53.0,34.5,0
69.5,94.4,20.9,36.1,55.8,35.3,3
62.0,80.9,17.9,30.8,48.8,30.4,0
63.4,87.7,19.1,34.4,54.0,32.8,0
71.0,88.5,21.0,33.5,54.5,35.0,3
59.0,88.5,18.5,32.5,51.2,29.6,0
74.0,101.0,23.8,38.6,61.5,38.6,1
75.0,99.0,20.6,37.0,59.0,36.5,1
65.0,91.0,22.0,32.0,53.5,31.5,0
70.2,94.2,19.4,34.3,54.1,30.9,0
75.0,103.0,23.0,38.2,62.0,40.0,1
63.0,90.0,20.9,35.2,51.1,33.7,0
70.0,96.0,21.0,37.2,57.9,36.0,2
72.6,93.7,21.3,37.0,56.4,38.4,2
78.7,101.5,21.3,35.4,59.9,36.7,1
61.0,82.5,20.5,32.5,49.5,33.0,0
64.2,89.0,20.5,33.0,53.0,31.5,0
63.1,93.9,20.1,35.0,57.1,35.0,3
66.0,92.0,20.5,33.0,52.5,34.8,3
65.0,86.0,20.0,31.5,51.0,31.0,0
63.2,89.1,20.0,33.6,55.8,33.4,0
68.0,88.0,21.2,33.2,52.2,35.3,3
75.7,102.6,21.5,35.5,64.3,38.0,1
65.5,95.9,21.9,35.6,53.7,33.4,3
66.9,98.8,20.0,35.9,59.2,34.6,3
67.9,93.5,20.6,37.1,57.0,36.3,2
67.8,92.9,18.8,32.3,55.8,30.0,0
63.2,86.9,18.9,32.3,52.1,31.6,0
73.1,94.9,22.0,34.9,57.2,35.7,2
65.3,95.3,21.2,33.1,55.7,35.4,3
65.6,93.3,21.0,35.1,57.4,35.6,3
62.7,90.0,19.8,32.6,54.0,32.9,0
72.1,95.6,21.9,34.3,59.2,37.1,2
68.6,95.8,20.7,35.6,56.6,34.0,3
80.0,104.6,21.0,36.3,62.7,36.0,1
64.9,92.2,20.7,34.0,53.1,35.4,3
61.7,80.7,20.7,30.5,50.3,33.8,0
64.0,98.1,20.3,33.7,56.8,34.0,3
58.6,89.6,20.7,33.2,54.9,35.8,0
68.3,94.0,19.7,35.9,57.0,32.5,3
69.5,94.7,20.1,34.9,55.7,37.1,3
70.5,94.1,20.0,33.5,54.6,33.5,3
69.8,93.7,21.5,35.9,55.7,34.2,3
69.0,86.7,19.6,31.6,51.5,33.3,0
81.0,105.9,21.7,38.1,65.5,37.7,1
71.0,97.5,20.6,34.0,59.5,34.2,3
65.0,91.6,18.9,33.0,55.3,31.5,0
62.8,83.9,20.9,34.0,51.5,34.8,0
67.6,99.1,22.1,38.5,57.5,35.0,2
65.4,89.3,19.1,34.0,53.7,33.7,0
61.6,89.9,19.0,33.3,53.6,32.4,0
63.2,85.8,18.4,32.5,51.6,31.3,0
59.4,85.8,19.7,32.8,51.0,32.1,0
62.7,96.0,21.3,35.4,61.5,38.5,2
66.6,98.7,21.8,35.7,60.3,38.2,2
64.6,94.9,21.0,37.4,54.0,35.5,3
65.7,90.5,20.3,33.2,56.1,34.4,3
63.0,86.6,20.2,32.2,48.5,30.3,0
78.5,103.0,23.2,37.0,59.6,35.2,1
68.2,97.9,21.8,36.8,59.8,38.1,2
68.8,94.8,21.6,34.4,56.5,35.2,3
69.0,96.5,22.2,37.0,57.6,35.0,2
